"RunTimestamp","RunId","Model","Family","Parameter","Quantization","ModelSize(GiB)","CodingScore","ReasoningScore","InstructionScore","CreativeWritingScore","CreativeLongformScore","CreativeCombinedScore","JudgeAverage","OverallQualityScore","Status","Notes"
"2026-03-25T00:28:32","20260325-002832","glm-4.7-5090:latest","glm4moelite","29.9B","Q4_K_M","17.71","10","10","9","9","9","9","10","9.61","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 10/10 (The response perfectly implements all requirements: iterative approach, ValueError for negative n, correct base cases (0 for n=0, 1 for n=1), no recursion, and valid Python code.) | reasoning: Exact format answer | reasoning_judge: 10/10 (The model correctly calculated total signups (8*3 + 6*4 + 2*3 = 54) and subtracted churn (54 - 12 = 42), matching the expected answer.) | instruction_following: Extra keys found | instruction_following_judge: unavailable | creative_writing: No vivid metaphor signal | creative_writing_judge: 10/10 (Perfectly executes all constraints with a vivid metaphor and practical tone.) | creative_longform: Need at least 3 bullet points | creative_longform_judge: 10/10 (Perfectly executes all constraints with precise word count, required structure, concrete metrics, authentic anecdote, and grounded practical steps without hype.)"
"2026-03-25T00:28:32","20260325-002832","gpt-oss:20b","gptoss","20.9B","MXFP4","12.85","10","10","9","6","9","7.5","10","9.22","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 10/10 (Meets all requirements with correct iterative implementation and proper error handling.) | reasoning: Exact format answer | reasoning_judge: 10/10 (The model correctly calculated total signups (8*3 + 6*4 + 2*3 = 54) and subtracted churn (12) to get 42, matching the exact required format.) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (Perfectly matched all specified schema requirements and content constraints.) | creative_writing: Missing phrase: AI co-founder; Missing CTA line starting with Try | creative_writing_judge: 10/10 (Perfectly executes all constraints with precise word count, exact phrase, single rhetorical question, vivid metaphor, correct CTA, and maintains confident, practical tone without hype.) | creative_longform: Missing action-oriented guidance | creative_longform_judge: unavailable"
"2026-03-25T00:28:32","20260325-002832","qwen3:30b","qwen3moe","30.5B","Q4_K_M","17.28","10","10","9","4","8","6",,"8.15","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | reasoning: Exact format answer | instruction_following: Extra keys found | creative_writing: Word count outside 180-240 (163); Missing CTA line starting with Try; No vivid metaphor signal | creative_longform: Need at least 3 bullet points; Missing action-oriented guidance"
"2026-03-25T00:28:32","20260325-002832","llama3:latest","llama","8.0B","Q4_0","4.34","10","0","9","5","8","6.5","10","7.95","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: unavailable | reasoning: attempt 1 scored 0/10 or empty output, retrying | reasoning: recovered on attempt 2/2 | reasoning: Incorrect value or missing 42 | reasoning_judge: unavailable | instruction_following: Extra keys found | instruction_following_judge: unavailable | creative_writing: Need exactly one rhetorical question (found 2); Missing CTA line starting with Try; No vivid metaphor signal | creative_writing_judge: 10/10 (Perfectly meets all constraints with precise word count, exact phrase, vivid metaphor, single rhetorical question, correct CTA, and consistent confident/practical tone.) | creative_longform: Need at least 3 bullet points; Missing action-oriented guidance | creative_longform_judge: unavailable"
"2026-03-25T00:28:32","20260325-002832","qwen3-vl:30b","qwen3vlmoe","31.1B","Q4_K_M","18.25","10","10","9","5","5","5","8.4","7.88","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 2/10 (Response included explanatory text violating the 'output only' requirement.) | reasoning: Exact format answer | reasoning_judge: 10/10 (The model correctly calculated total signups (8*3 + 6*4 + 2*3 = 54) and subtracted churn (54 - 12 = 42).) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (The response perfectly matches the required schema, values, and formatting without any deviations.) | creative_writing: Word count outside 180-240 (248); Missing CTA line starting with Try | creative_writing_judge: 10/10 (Perfectly executes all constraints while maintaining confident, practical tone without hype.) | creative_longform: Word count outside 380-560 (774); Need at least 3 bullet points; Missing action-oriented guidance | creative_longform_judge: 10/10 (Exceeds all constraints with precise word count, perfect heading structure, concrete metrics, founder anecdote, measurable experiment, actionable steps, and grounded tone without hype.)"
"2026-03-25T00:28:32","20260325-002832","qwen3-coder:30b","qwen3moe","30.5B","Q4_K_M","17.28","10","0","9","7","8","7.5","7.5","7.34","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 10/10 (The code meets all requirements and is correct.) | reasoning: attempt 1 scored 0/10 or empty output, retrying | reasoning: recovered on attempt 2/2 | reasoning: Incorrect value or missing 42 | reasoning_judge: 2/10 (Model used 24 for churn instead of 12, resulting in incorrect calculation.) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (The response perfectly matches the required JSON schema, content, and formatting without any deviations.) | creative_writing: Missing CTA line starting with Try; No vivid metaphor signal | creative_writing_judge: unavailable | creative_longform: Need at least 3 bullet points; Missing action-oriented guidance | creative_longform_judge: 8/10 (Word count is approximately 340 words, falling below the required 380-word minimum while meeting all other constraints.)"
"2026-03-25T00:28:32","20260325-002832","gemma3:27b","gemma3","27.4B","Q4_K_M","16.2","10","0","9","9","5","7","7.33","7.05","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 10/10 (The response perfectly implements all requirements: iterative approach, ValueError for negative n, correct base cases (0 and 1), no recursion, and valid Python code with proper documentation.) | reasoning: attempt 1 scored 0/10 or empty output, retrying | reasoning: recovered on attempt 2/2 | reasoning: Incorrect value or missing 42 | reasoning_judge: 2/10 (The model calculated total signups but failed to subtract the churned signups.) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (Model perfectly followed all instructions: exact JSON format, required title, relevant tags, and correct word count with no markdown or extra keys.) | creative_writing: No vivid metaphor signal | creative_writing_judge: unavailable | creative_longform: Word count outside 380-560 (639); Need at least 3 bullet points; Missing action-oriented guidance | creative_longform_judge: unavailable"
"2026-03-25T00:28:32","20260325-002832","qwen3.5:35b","qwen35moe","36.0B","Q4_K_M","22.23","10","10","9","0","0","0","6.4","5.72","OK","coding: attempt 1 scored 0/10 or empty output, retrying | coding: recovered on attempt 2/2 | coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":true,""NegativeGuard"":true,""TypeHint"":true} | coding_judge: 10/10 (The code perfectly implements all requirements: iterative approach, ValueError for negative n, correct base cases for 0 and 1, no recursion, and valid Python syntax.) | reasoning: Exact format answer | reasoning_judge: 10/10 (The model correctly calculated total signups (8*3 + 6*4 + 2*3 = 54) and subtracted churn (54 - 12 = 42).) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (The response perfectly matches the required JSON schema, exact title, relevant tags, and word count without any deviations or extra content.) | creative_writing: attempt 1 scored 0/10 or empty output, retrying | creative_writing: recovered on attempt 2/2 | creative_writing: Word count outside 180-240 (0); Need exactly one rhetorical question (found 0); Missing phrase: AI co-founder; Missing CTA line starting with Try; No vivid metaphor signal | creative_writing_judge: 1/10 (Model response is empty and fails all constraints.) | creative_longform: attempt 1 scored 0/10 or empty output, retrying | creative_longform: recovered on attempt 2/2 | creative_longform: Word count outside 380-560 (0); Need at least 2 H2 headings; Need at least 3 bullet points; Missing founder-grounded anecdote; Missing concrete example language; Missing action-oriented guidance | creative_longform_judge: 1/10 (Model response is empty, violating all constraints including word count, headings, and required content elements.)"
"2026-03-25T00:28:32","20260325-002832","phi3:latest","phi3","3.8B","Q4_0","2.03","6","6","9","5","3","4","4.8","5.26","OK","coding: {""ReturnPath"":true,""HasFunction"":true,""NoRecursion"":false,""NegativeGuard"":true,""TypeHint"":false} | coding_judge: 1/10 (The response contains a syntax error (incomplete elif block followed by invalid assignment) and does not output only valid Python code as required.) | reasoning: attempt 1 scored 0/10 or empty output, retrying | reasoning: recovered on attempt 2/2 | reasoning: Correct value but wrong output format | reasoning_judge: 2/10 (The model incorrectly calculated retained signups as 30 instead of 42 (54 total - 12 churn) and added unsupported speculation about retention periods, violating the requirement to output only the correct numerical answer in the specified format.) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (The response perfectly matches the required JSON schema, values, and formatting constraints.) | creative_writing: Word count outside 180-240 (351); Missing CTA line starting with Try | creative_writing_judge: 9/10 (Exceeds all constraints with precise word count, single rhetorical question, exact phrase usage, vivid metaphor, correct CTA, and perfect tone; only minor typo ('fast-pinfluenting') slightly detracts from perfection.) | creative_longform: Word count outside 380-560 (1194); Need at least 2 H2 headings; Need at least 3 bullet points; Missing action-oriented guidance | creative_longform_judge: 2/10 (Exceeds word count (652 words), uses hypothetical 'anecdote' instead of founder-grounded story, includes hype language ('unlock limitless potential'), and has inconsistent metrics between anecdote and experiment sections.)"
"2026-03-25T00:28:32","20260325-002832","qwen3.5:latest","qwen35","9.7B","Q4_K_M","6.14","2","10","9","0","0","0","4.6","3.79","OK","coding: attempt 1 scored 0/10 or empty output, retrying | coding: recovered on attempt 2/2 | coding: {""ReturnPath"":false,""HasFunction"":false,""NoRecursion"":true,""NegativeGuard"":false,""TypeHint"":false} | coding_judge: 1/10 (Model provided no code, violating the requirement to output valid Python code.) | reasoning: Exact format answer | reasoning_judge: 10/10 (The model correctly calculated total signups (8*3 + 6*4 + 2*3 = 54) and subtracted churned signups (12) to get 42.) | instruction_following: Extra keys found | instruction_following_judge: 10/10 (Perfectly followed all requirements: exact title, relevant tags, correct word count, and strict JSON format with no extra keys.) | creative_writing: attempt 1 scored 0/10 or empty output, retrying | creative_writing: recovered on attempt 2/2 | creative_writing: Word count outside 180-240 (0); Need exactly one rhetorical question (found 0); Missing phrase: AI co-founder; Missing CTA line starting with Try; No vivid metaphor signal | creative_writing_judge: 1/10 (Model response is empty, violating all constraints including word count, required elements, and structure.) | creative_longform: attempt 1 scored 0/10 or empty output, retrying | creative_longform: recovered on attempt 2/2 | creative_longform: Word count outside 380-560 (0); Need at least 2 H2 headings; Need at least 3 bullet points; Missing founder-grounded anecdote; Missing concrete example language; Missing action-oriented guidance | creative_longform_judge: 1/10 (Response is empty and fails to address any prompt requirements.)"
